학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3809-01-00   ,1,스포츠상해재활실습 ,,,,,정희성,"금7,8(금7,8)",스포츠(휘트니스센터)(스포츠(휘트니스센터검사실)),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,3,전선,2000,TTP2009-01-00   ,1,교육봉사활동(2) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3509-01-00   ,2,특수교육학개론 ,,,,,박재범,"목11,12",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3808-01-00   ,2,교육평가 ,,,,,김주아,"월1,2",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3208-01-00   ,3,스포츠상해재활 ,,,,,이세용,"월5,6,금5",스포츠108,"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3210-01-00   ,3,체육교과교육과정및평가 ,,,,,이한주,"목3,4(목3,4)",스포츠315(체육관),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3503-01-00   ,3,교육사회 ,,,,,방재임,"수2,3/수4",동영상콘텐츠/체104,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⒝",O
교육과학대학,체육교육학전공,,,,3,전선,4000,PED4206-01-00   ,3,운동학습및제어 ,,,,,육동원,"화5,6,7",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,4000,PED4206-02-00   ,3,운동학습및제어 ,운동부,,,,육동원,"화10,11,12",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑦⒝",O
교육과학대학,체육교육학전공,,,,4,전기,1000,PED1111-01-00   ,1,축구교수법 ,,,,,오태한,"월1,2",운동장(신촌),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,4,전기,1000,PED1111-02-00   ,1,축구교수법 ,,,,,오태한,"월3,4",운동장(신촌),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,4,전기,1000,PED1115-01-00   ,1,한국무용교수법 ,,,,,곽정운,"금3,4",무용실(체401),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,4,전기,4000,PED4201-01-00   ,3,졸업평가 ,,,,,,"수7,8,9(수7,8,9(수7,8,9)",체조장(체308)(수영장(신촌)(운동장(신촌)),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑧⒝",O
교육과학대학,체육교육학전공,,,,4,전선,2000,TTP2008-01-00   ,1,교육봉사활동(1) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,4,전선,4000,TTP4007-01-00   ,1,교육현장연구지도 ,,,,,고래억,수10,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⓔ⒝",O
교육과학대학,체육교육학전공,,,,4,전선,4000,PED4207-01-00   ,3,체육교재연구및지도법 ,,,,,"이한주,이경수","목8,9,10(목8,9,10)",스포츠302(스포츠(구기장)),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,4,전선,4000,PED4207-02-00   ,3,체육교재연구및지도법 ,,,,,"이한주,김우영","화8/화9,10",동영상콘텐츠/체육관,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전기,1000,SLS1104-01-00   ,1,수영(1) ,,,,,윤용진,"목7,8(목7,8)",스포츠108(수영장(신촌)),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⑧⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전기,1000,SLS1201-01-00   ,3,스포츠응용산업학개론 ,운동부,,,,진지형,"목11/목12,13",체104/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1005"");, ①⑦⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전선,1000,SLS1115-01-00   ,1,배드민턴 ,,,,,이세중,"월3,4",스포츠(구기장),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전선,2000,SLS2106-01-00   ,1,태권도(2) ,,,,,조광민,"수5,6",스포츠(구기장),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2001-01-00   ,1,주니어세미나(스포츠와세대간교류) ,,,,,허진무,수5,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⑧⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-01-00   ,1,UT세미나(4차혁명시대문화예술창작과교육) ,,,,,최명진,월6,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-02-00   ,1,UT세미나(레저와행복추구) ,,,,,전성범,화4,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-03-00   ,1,UT세미나(스트렝스트레이닝의이론과실제) ,,,,,홍성현,화6,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-04-00   ,1,UT세미나(스포츠산업진로탐색) ,,,,,배재윤,목9,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-05-00   ,1,UT세미나(스포츠심리검사방법및평가) ,,,,,이기표,목5,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-06-00   ,1,UT세미나(스포츠심리학적용의이론과실제) ,,,,,박지연,금3,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-07-00   ,1,UT세미나(스포츠안전윤리세미나) ,,,,,오정희,목5,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-08-00   ,1,UT세미나(스포츠와ICT) ,,,,,이정일,목4,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-09-00   ,1,UT세미나(스포츠캡스톤디자인) ,,,,,변현,화7,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-10-00   ,1,UT세미나(신체활동증진전략) ,,,,,이윤구,화2,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-11-00   ,1,"UT세미나(이야기로배우는태권도,그리고논쟁) ",,,,,박광범,수2,체207,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-12-00   ,1,UT세미나(컨디셔닝체조) ,,,,,김수연,수1,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-13-00   ,1,UT세미나(투어리즘과레크리에이션) ,,,,,이민석,목2,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-14-00   ,1,UT세미나(특정집단을위한운동프로그램개발) ,,,,,변지용,월5,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-15-00   ,1,UT세미나(한국스포츠이해하기) ,,,,,정경환,화1,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-16-00   ,1,UT세미나(항노화와여가활동) ,,,,,이록빛,금7,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2102-01-00   ,1,유도(2) ,,,,,마윤성,"월7,8(월7,8)",스포츠(유도장)(스포츠(태권도장)),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2114-01-00   ,1,골프(2) ,,,,,조원득,"화1,2",골프장,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⑧⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2122-01-00   ,1,승마(2) ,,,,,이원일,"토8,9(금8,9)",스포츠108(외부),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⑧⑩⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2131-01-00   ,1,보디빌딩(2) ,,,,,전용관,"화1,2",스포츠(휘트니스센터),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2151-01-00   ,1,필라테스(1) ,,,,,양혜주,"수3,4",스포츠(다목적실2),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2161-01-00   ,1,풋살(1) ,,,,,강희엽,"목3,4",스포츠(구기장),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2181-01-00   ,1,피클볼(1) ,,,,,허진무,"수3,4",스포츠(구기장),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2182-01-00   ,1,피클볼(2) ,,,,,허진무,"화6,7",스포츠(구기장),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⑧⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2230-01-00   ,1,하모니댄스 ,,,,,김수연,"월3,4",스포츠(다목적실3),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,1000,SLS1202-01-00   ,3,스포츠행정및경영 ,,,,,조광민,"수8,9,목8",스포츠315,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,1000,SLS1202-02-00   ,3,스포츠행정및경영 ,운동부,,,,조광민,"목11,12,13",운동선수기숙사 세미나실,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⑦⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전기,4000,SLS4102-01-00   ,1,졸업실기 ,,,,,"원영신,윤용진,전용관,한지훈","금5,6(금5,6(금5,6(금5,6)",스포츠302(수영장(신촌)(스포츠(휘트니스센터)(스포츠(다목적실3,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⑧⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,1000,SLS1114-01-00   ,1,테니스(2) ,,,,,김진성,"수5,6",테니스장(클레이코트),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,2000,SLS2116-01-00   ,1,요트 ,,,,,윤용진,"토5,6",외부,"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⑩⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,2000,SLS2171-01-00   ,1,응급처치및심폐소생술 ,,,,,이미경,"화5,6(화5,6)",스포츠315(스포츠(다목적실3)),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,2000,SLS2211-01-00   ,1,야구(2) ,,,,,박광호,"수3,4",야구장,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,3000,SLS3204-01-00   ,3,여가학 ,,,,,"이철원,이민석","화7,8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,3000,SLS3311-01-00   ,3,이벤트기획및진행 ,,,,,"허진무,이록빛","화3,4,5(화3,4,5)",스포츠108(스포츠(구기장)),"javascript:OpenList5(""H1"",""20202"",""1005"");, ③⑧⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,3000,SLS3401-01-00   ,3,스포츠스폰서십마케팅 ,,,,,이준성,"화3,4,5",체207,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⑨⒝",O
교육과학대학,스포츠응용산업전공,,,,3,전선,4000,SLS4206-01-00   ,3,스포츠응용산업연구법 ,,,,,윤용진,"월7,8,9",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,"3,4",전선,4000,SLS4222-01-00   ,3,스포츠커뮤니케이션 ,,,,,"원영신,김지훈","월7,8,9",스포츠315,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,4,전기,2000,SLS2107-01-00   ,1,호신술 ,,,,,마윤성,"월5,6(월5,6)",스포츠(유도장)(스포츠(태권도장)),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,4,전기,4000,SLS4202-01-00   ,1,스포츠응용산업인턴쉽 ,,,,,윤용진,"토3,4",체207,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⑧⒞",O
교육과학대학,스포츠응용산업전공,,,,4,전선,4000,SLS4001-01-00   ,3,경기분석및평가론 ,운동부,,,,진지형,"월11/월12,13",체104/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1005"");, ①⑦⒝",O
교육과학대학,스포츠응용산업전공,,,,4,전선,4000,SLS4004-01-00   ,3,지도자윤리론 ,운동부,,,,진지형,"화11/화12,13",체104/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1005"");, ①⑦⒝",O
교육과학대학,스포츠응용산업전공,,,,4,전선,4000,SLS4212-01-00   ,3,스포츠서비스 ,,,,,박상현,"금2,3,4",스포츠315,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,4,전선,4000,SLS4215-01-00   ,3,자연과스포츠교육론 ,,,,,이세중,"월6,7/토2",동영상콘텐츠/스포츠109,"javascript:OpenList5(""H1"",""20202"",""1005"");, ①⑩⒝",O
교육과학대학,스포츠응용산업전공,,,,4,전선,4000,SLS4215-02-00   ,3,자연과스포츠교육론 ,운동부,,,,여인성,"화5,6/토3",동영상콘텐츠/체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ①⑦⑩⒝",O
교육과학대학,스포츠응용산업전공,,,,4,전선,4000,SLS4223-01-00   ,3,운동의학의이론과실제 ,,,,,전용관,"화3/목5,6",동영상콘텐츠/스포츠315,"javascript:OpenList5(""H1"",""20202"",""1005"");, ①②⒝",O
